,title,area,numberOfRooms,price,town,district
13549,İNİSTANBUL STAR PROJE GAYRİMENKUL DEN 2+1 BALKONLU SATILIK,95.0,2+1,3.500.000,Maltepe,
13550,İNİSTANBUL BALKONLU 1+1,66.0,1+1,2.200.000,Maltepe,
13551,GÖKALP'DE 3+1 155M2 ÇOK GENİŞ VE KULLANIŞLI KÖŞE DAİRE,160.0,3+1,4.100.000,Beştelsiz,Gökalp Mh.
13552,ANKA Emlak'tan Büyükyalı'da 4+1 Deniz Manzaralı Satılık Daire,214.0,4+1,33.000.000,Beştelsiz,Kazlıçeşme Mh.
13553,"EMİNE GÖKTÜRK,DEN İNİSTANBUL'DA BOŞ BALKONLU KAPALI MUTFAKLI 2+1",118.0,2+1,5.200.000,Maltepe,
13554,Avrupa Konutları Kale 1 Topkapı Satılık Kapalı Mutfak 2+1 Daire,136.0,2+1,10.500.000,Maltepe,
13555,EKŞİOĞLU İNŞAAT EMLAKTAN SATILIK DAİRE,95.0,2+1,3.500.000,Çırpıcı,Sümer Mh.
13556,Zeytinburnu nun en nezih konumunda 2+1 krediye uygun daire.,95.0,2+1,1.500.000,Çırpıcı,Çırpıcı Mh.
13557,SAHİBİNDEN ZEYTİNBURNU MEYDANDA KREDİYE UYGUN TEMİZ DAİRE..,95.0,2+1,1.750.000,Çırpıcı,Veliefendi Mah.
13558,NEF İNİSTANBUL BOŞ PEYZAJ MANZARALI 1+1 SATILIK DAİRE,55.0,1+1,2.300.000,Maltepe,
13559,Ara Kat Daire,90.0,2+1,2.085.000,Çırpıcı,Sümer Mh.
13560,sahibinden Avrupa konutları Kale 1 kapalı mutfak,136.0,2+1,9.900.000,Maltepe,
13561,Deprem sonrası geniş daire,110.0,2+1,1.500.000,Beştelsiz,Telsiz Mah.
13562,ZEYTİNBURNU BEŞTELSİZ 45M2 1+1 1.Cİ KAT ARAÇ TAKASINA UYGUN,50.0,1+1,499.000,Beştelsiz,Beştelsiz Mh.
13563,ÇİĞDEM EMLAK'TAN SAHILPARK EVLERİNDE SATILIK 2+1 DAİRE,86.0,2+1,2.250.000,Çırpıcı,Sümer Mh.
13564,NEF İNİSTANBUL TOPKAPI 1+1 GÜNCEL SATILIK DAİRE,50.0,1+1,2.240.000,Maltepe,
13565,ZEYTİNBURNU ÇIRPICIDA 2+1 85 m2 SATILIK GİRİŞ KAT DAİRE,85.0,2+1,850.000,Çırpıcı,Çırpıcı Mh.
13566,TERCÜMAN SİTESİNDE 3+1 SATILIK DAİRE,118.0,3+1,3.500.000,Merkezefendi,
13567,SAHİBİNDEN BAHÇE KATI,110.0,2+1,1.250.000,Beştelsiz,Gökalp Mh.
13568,TENİLAY'DAN ONALTI DOKUZDA 1+1 SATILIK,92.0,1+1,6.500.000,Beştelsiz,Kazlıçeşme Mh.
13569,SÜMER MAH. CADDE ÜSTÜ TADİLATLI TEMİZ DAİRE,120.0,2+1,2.285.000,Çırpıcı,Sümer Mh.
13570,LOCAMAHAL H4 BLOK 8.KAT SON İKİ DAİRE BOŞ DAİRE HEMEN TAŞININ.,118.0,2+1,4.450.000,Çırpıcı,Sümer Mh.
13571,ENVA GAYRİMENKUL'DEN ÇIRPICI'DA SIFIR BİNADA 2+1 SATILIK DAİRE,90.0,2+1,1.940.000,Çırpıcı,Çırpıcı Mh.
13572,KAYA A.Ş OTTOMARE SUITES'TE 1+1 BÜYÜK TİP DENİZ MANZARALI DAİRE,90.0,1+1,6.800.000,Beştelsiz,Kazlıçeşme Mh.
13573,"ANA CADDE ÜZERİ,METRO,TRANWAY KARŞISINDA PARK MANZARALI 0 DAİRE",85.0,2+1,2.550.000,Çırpıcı,Çırpıcı Mh.
13574,NEF İNİSTANBUL BALKONLU PEYZAJ CEPHELİ 2+1 SATILIK DAİRE,115.0,2+1,4.150.000,Maltepe,
13575,BU BÖLGEDE BÖYLESİ YOK DENİZ MANZARALI,197.0,4+1,2.500.000,Beştelsiz,Telsiz Mah.
13576,NURİPAŞADA 125 M2 3+1 KÖŞE BAŞI SATILIK DAİRE 1.950.000 TL,125.0,3+1,1.950.000,Çırpıcı,Nuripaşa Mh.
13577,masrafsız temiz kullanışlı daire,110.0,3+1,2.250.000,Çırpıcı,Yeşiltepe Mh.
13578,SIFIR DAİRE 1+1 50 M2 MERKEZ EFENDİ,55.0,1+1,1.550.000,Merkezefendi,
13579,ALTIN EMLAK ZEYTİNBURNU LOCAMAHALDE GÜNCEL SATILIK 2+1 DAİRE,85.0,2+1,3.300.000,Çırpıcı,Sümer Mh.
13580,ELİBOL GYD ACİL SATILIK ÇIRPICI'DA 22 YILLIK MASRAFSIZ DAİRE,95.0,2+1,1.350.000,Çırpıcı,Çırpıcı Mh.
13581,DENGEİUM'DAN BEŞTELSİZ MAH 2+1 100m² 2010 YAPIMI ASANSÖRLÜ DAİRE,100.0,2+1,2.300.000,Beştelsiz,Beştelsiz Mh.
13582,BEYAZ PARK TOPKAPI 2+1 SATILIK DAİRE,110.0,2+1,5.350.000,Maltepe,
13583,ZEYTİNBURNUNDA SATILIK KELEPİR DAİRE,95.0,2+1,1.100.000,Merkezefendi,Seyitnizam Mah.
13584,ZEYTİNBURNU TELSİZ MAH 2+1 KAT 1 110 M2 TEMİZ MASRAFSIZ DAİRE,110.0,2+1,1.400.000,Beştelsiz,Telsiz Mah.
13585,"TURAN GÜNEŞ CADDESİNE, ELEKTRİK İDARESİNE YAKIN 2+1 SATILIKDAİRE",100.0,2+1,1.750.000,Çırpıcı,Sümer Mh.
13586,Çiğdem Emlak'tan Yedi Mavi Deniz Projesi'nde Satılık 3+1 Daire,168.0,3+1,22.000.000,Beştelsiz,Kazlıçeşme Mh.
13587,VELİEFENDİ İLKOKULUNA YAKIN DEPREM SONRASI ASANSÖRLÜ 2+1 DAİRE,90.0,2+1,1.750.000,Çırpıcı,Çırpıcı Mh.
13588,AK EVLER SİTESİNDE MERKEZİ KONUMDA LÜX SATILIK 3+1 DAİRE,165.0,3+1,4.500.000,Merkezefendi,Seyitnizam Mah.
13589,TOPRAK İNŞAAT & EMLAK'TAN TELSİZDE SIFIR LÜX SATILIK KÖŞE DUBLEX,250.0,5+2,4.250.000,Beştelsiz,Telsiz Mah.
13590,"İstanbul House'dan, Real İstanbul'da, 3+1, Geniş, Lüx, Daire",161.0,3+1,9.100.000,Merkezefendi,Seyitnizam Mah.
13591,Nef 13 Projesinde Oturuma Hazır Boş Satılık 3+1 Daire,112.0,3+1,5.500.000,Maltepe,
13592,ZEYTİNBURNU MERKEZEFENDİDE 1+1 60 m2 YARI BODRUM SATILIK DAİRE,60.0,1+1,850.000,Merkezefendi,
13593,ZEYTİNBURNU LOCA MAHALDE SATILIK PEYZAJ MANZARALI UYGUN DAİRE,90.0,2+1,3.550.000,Çırpıcı,Sümer Mh.
13594,YEŞİLTEPEDE 200 M2 4+2 TEMİZ SATILIK DUBLEX DAİRE 2.900.000 TL,200.0,4+2,2.900.000,Çırpıcı,Yeşiltepe Mh.
13595,ERPAY GAYRIMENKUL DEN SATILIK DAİRE,85.0,2+1,1.600.000,Merkezefendi,Seyitnizam Mah.
13596,Çiğdem Emlak'tan The İst Vefendi Proje'sinde Satılık 2+1 Daire,137.0,2+1,7.000.000,Çırpıcı,Sümer Mh.
13597,ERPAY GAYRULMEKUL DEN SATILIK DUBLEKS AYRI GİRİŞ DEPREM SONRASI,220.0,4+2,2.800.000,Çırpıcı,Yeşiltepe Mh.
13598,LOCAMAHAL 2.EL SATIS OFİSİNDEN FULL DENİZ MANZARALI 2+1 (94m,94.0,2+1,3.375.000,Çırpıcı,Sümer Mh.
13599,NEF 12 SATILIK 1+1 ŞEREFİYESİ YÜKSEK FIRSAT DAİRE,55.0,1+1,2.200.000,Maltepe,
13600,YEDİMAVİDE DENİZ MANZARALI 4+1 SOSYAL AKTİVİTELİ SATILIK DAİRE,375.0,4.5+1,35.000.000,Beştelsiz,Kazlıçeşme Mh.
13601,AltınEmlaktan Zeytinburnu Nuripaşa da 3+1 130m2 Satılık Daire,130.0,3+1,1.800.000,Çırpıcı,Nuripaşa Mh.
13602,Loca mahelde satılık 1+1,70.0,1+1,2.600.000,Çırpıcı,Sümer Mh.
13603,Zeytinburnu Hatboyu Mevkiinde Satılık 4+1 Dubleks,200.0,4+1,2.500.000,Çırpıcı,Sümer Mh.
13604,Beyler yapıdan bulvarın arka sokağında 3+1,140.0,3+1,1.750.000,Beştelsiz,Gökalp Mh.
13605,NEF 13 BALKONLU 3+1 SATILIK DAIRE TEK YETKİLİDİR!!!,127.0,3+1,4.900.000,Maltepe,
13606,"ZEYTİNBURNU SÜMER MAHALLESİ'NDE, FERAH, ARA KAT FIRSATI",80.0,2+1,1.300.000,Çırpıcı,Sümer Mh.
13607,"CADDE ÜSTÜ ,125 M2 , KÖŞE BAŞI, ÇİFT CEPHE KREDİYE UYGUN DAİRE",125.0,2+1,1.950.000,Çırpıcı,Veliefendi Mah.
13608,SERAP GAYRİMENKUL YEDİMAVİ DENİZ MANZARALI SATILIK 5+1 DAİRE,195.0,5+1,39.500.000,Beştelsiz,Kazlıçeşme Mh.
13609,SATILIK DAİRE,90.0,2+1,1.650.000,Beştelsiz,Yenidoğan Mh.
13610,İstanbul House'dan Matbaacılar Sitesinde 3+1 Satılık FırsatDaire,130.0,3+1,2.575.000,Çırpıcı,Sümer Mh.
13611,beyler yapi emlak dan merkezi konumda daire,155.0,3+1,1.800.000,Çırpıcı,Yeşiltepe Mh.
13612,GARANTİM'den GÖKALP MAH. MARMARAYA YAKIN 1+1 60m SATILIK DAİRE,60.0,1+1,925.000,Beştelsiz,Gökalp Mh.
13613,SATILIK SIFIR DUBLEKS DAİRE,200.0,5+1,3.800.000,Çırpıcı,Yeşiltepe Mh.
