,title,area,numberOfRooms,price,town,district
0,BURGAZADA`DA SATILIK DAİRE,100.0,2+1,6.350.000,Burgazada,Burgazada Mh.
1,BÜYÜKADA SAHİLDE SATILIK DUBLEKS DAİRE HAVUZLU BALKONLU TERASLI,130.0,3+2,4.450.000,Büyükada,Maden Mh.
2,Planet'ten İskeleye Yakın Geniş 2+1 Bahçe Katı Daire,110.0,2+1,2.500.000,Büyükada,Nizam Mh.
3,BURGAZADA DA DENİZ MANZARALI SATILIK DAİRE!!!!,105.0,1+1,3.000.000,Burgazada,Burgazada Mh.
4,Büyükada Emlak'tan Ana Cadde de 4+1 Geniş Balkonlu Deniz Manzara,160.0,4+1,6.000.000,Büyükada,Nizam Mh.
5,Büyükada Emlak'tan 4+1 Panoramik Deniz Manzaralı Yalı Dairesi,210.0,4+1,11.000.000,Büyükada,Maden Mh.
6,Planet'ten Geniş Balkonlu Deniz Manzaralı Köşk Dairesi Ara Kat,148.0,2+1,7.500.000,Büyükada,Maden Mh.
7,Büyükada Emlak'tan Müstakil Bahçe Kullanımlı Dekorasyonlu Daire,128.0,3+1,6.500.000,Büyükada,Nizam Mh.
8,Murat'tan Merkezde 180 m2 Keyifli Daire,160.0,3+1,7.500.000,Büyükada,Maden Mh.
9,Filamingoda,180.0,2+1,5.300.000,Kınalıada,Kınalıada Mh.
10,Heybeliada Sahilde Deniz ve Orman Manzaralı Daire,125.0,2+1,4.450.000,Heybeliada,
11,Büyükada Emlak'tan 4+1 Hastane yolunda Bahçe Katı Daire,150.0,4+1,3.500.000,Büyükada,Nizam Mh.
12,BÜYÜK ADADA KISMİ DENİZ MANZARALI MÜSTAKİL TADINDA KEYİFLİ 3+1,150.0,3+1,3.300.000,Büyükada,Nizam Mh.
13,KINALI ADADA SAHİLE İSKELEYE ÇOK YAKIN 2+1 BAHÇELİ YENİLENMİŞ,95.0,2+1,3.400.000,Kınalıada,Kınalıada Mh.
14,Büyükada Emlak'tan Cadde de 3 +1 Muhteşem Manzaralı Ara Kat,140.0,3+1,7.500.000,Büyükada,Maden Mh.
15,BLUECORNERDAN BÜYÜK ADADA ANADOLU KULÜBÜNE YAKIN 4+1 355 M2 NET,540.0,4+1,6.995.000,Büyükada,Nizam Mh.
16,İyi konumda,200.0,3+1,7.700.000,Kınalıada,Kınalıada Mh.
17,BÜYÜK ADA NİZAM'DA MUHTEŞEM ŞIK BAHÇE KATI FULL EŞYALI,150.0,3+1,5.500.000,Büyükada,Nizam Mh.
18,İSKELE SOKAK'DA MUHTEŞEM MANZARALI 3+1 140 M2 DUBLEKS DAİRE,200.0,3+1,5.450.000,Kınalıada,Kınalıada Mh.
19,CADDE EMLAK'TAN HEYBELİADA'DA ÇOK GÜZEL KONUMDA 2+1 EŞYALI DAİRE,125.0,2+1,2.800.000,Heybeliada,
20,Sahibinden Deniz Manzaralı Dubleks Daire,110.0,2+1,5.000.000,Burgazada,Burgazada Mh.
21,Adalar Sedef Adası Muhteşem Deniz Manzaralı Yenilenmiş Müstakil,350.0,7+3,12.250.000,Büyükada,Maden Mh.
22,Büyükada Anadolu Kulübüne yakın 355 m2 Net bahçeli 4+1 540 m2 Da,540.0,4+1,6.995.000,Büyükada,Nizam Mh.
23,Büyükada Emlak'tan Merkeze Yakın 200 m2 5+1 Ara Kat Dekorasyonlu,200.0,5+1,4.250.000,Büyükada,Maden Mh.
24,Planet'ten Anadolu Kulübü Mevkiinde İçi Sıfırlanmış 3+1 Daire,125.0,3+1,5.500.000,Büyükada,Nizam Mh.
25,Planet'ten Merkeze Yakın Yüksek Giriş Ferah Geniş Bahçe Katı,125.0,3+1,3.750.000,Büyükada,Maden Mh.
26,KINALIADA NARÇİÇEĞİ SOKAK DEVAMİNDA MANZARALİ BALKONLU 2+1 100M2,110.0,2+1,2.700.000,Kınalıada,Kınalıada Mh.
27,Kupon deniz Bahçeli,160.0,3+1,8.500.000,Kınalıada,Kınalıada Mh.
28,Büyükada Emlak'tan Merkezde Dekorasyonlu 2+1 Keyifli Daire,100.0,2+1,2.600.000,Büyükada,Maden Mh.
29,Planet'ten Kendine Ait Bahçeli Deniz Manzaralı Sıfır Bahçe Katı,125.0,3+1,6.500.000,Büyükada,Nizam Mh.
30,"SAHİBİNDEN 3+1 HAVUZLU, BAHÇELİ, DENİZ MANZARALI, ARAKAT",130.0,3+1,5.200.000,Büyükada,Nizam Mh.
31,Planet'ten Deniz Manzaralı Bahçeli 3+1 Bahçe Katı Daire,100.0,3+1,3.000.000,Büyükada,Maden Mh.
32,KINALIADA AKASYA CADDESİNDE KOMPLE SATILIK BİNA 2 DAİRE 1 İŞYERİ,900.0,4+2,22.000.000,Kınalıada,Kınalıada Mh.
33,Büyükada Emlak'tan 4+1 Deniz ve Doğa Manzaralı Ara Kat Daire,160.0,4+1,5.000.000,Büyükada,Maden Mh.
34,Planet'ten Düz Büyük Bahçeli Havuzlu Site İçinde Bahçe Kat Daire,165.0,3+1,6.300.000,Büyükada,Nizam Mh.
35,BÜYÜKADA VARON YETKİLİ ÇANKAYA MEYDANDA KOMPLE SATILIK BİNA,400.0,4+2,10.750.000,Büyükada,Nizam Mh.
36,HEYBELİADA 'DA MUHTEŞEM DENİZ MANZARALI DUBLEKS 4+1,190.0,4+1,6.250.000,Heybeliada,
37,HEYBELİADA SATILIK 4+1 DENİZ MANZARALI EŞYALI DUBLEKS İMAJ'DAN,185.0,4+1,4.500.000,Heybeliada,
38,Kınalı Ada'da deniz manzaralı muhteşem daire,150.0,3+1,4.900.000,Kınalıada,Kınalıada Mh.
39,Planet'ten Çankaya Meydanında Tarihi Binada Dublex Bahçe Katı,184.0,3+2,6.000.000,Büyükada,Nizam Mh.
40,REMAX PRO UĞUR ŞALLI'DAN BÜYÜKADA DA FIRSAT 4+1 SATILIK,200.0,4+1,6.975.000,Büyükada,Nizam Mh.
41,Sahibinden iskeleye 1 dk mesafede ara kat daire,75.0,1+1,2.250.000,Heybeliada,
42,Borsem CITY'den***İSTANBUL BÜYÜKADA BAHÇE KATI 3+1 BOŞ ACİLLL,165.0,3+1,3.200.000,Büyükada,Nizam Mh.
43,TARİHİ BİR KÖŞK' TE BURGAZADA KEYFİ,145.0,3+1,6.285.000,Burgazada,Burgazada Mh.
44,Heybeliadada Deniz Manzaralı Sahile Yakın Kat Mülkiyetli Daire,80.0,2+1,2.600.000,Heybeliada,
45,Büyükada Emlak'tan Merkezde 2+1 Keyifli Bahçe Katı Daire,105.0,2+1,3.500.000,Büyükada,Nizam Mh.
46,HEYBELİLADA DA DENİZ MANZARALI 2+1 SATILIK ARAKAT,100.0,2+1,2.400.000,Heybeliada,
47,Planet'ten Merkezde İçi Sıfır Yeni 2+1 Geniş Ara Kat Daire,97.0,2+1,2.600.000,Büyükada,Maden Mh.
48,heybeliada merkez çarşıiçinde kombili 1+1,59.0,1+1,1.200.000,Heybeliada,
49,KINALIADA ALSANCAK CADDESİ'NDE DENİZE SIFIR 3+1 BAHÇE KATI,120.0,3+1,9.000.000,Kınalıada,Kınalıada Mh.
50,Büyükada Kumsalda Mükemmel Deniz Manzaralı Fırsat 2 Daire,200.0,6+2,6.000.000,Büyükada,Maden Mh.
51,Planet'ten Merkezde Geniş Bahçeli 2+1 Bahçe Katı Daire,100.0,2+1,3.500.000,Büyükada,Nizam Mh.
52,HEYBELİDE İSKELEYE ÇOK 3+1 120 M2 2.KAT İSKANLI,120.0,3+1,3.150.000,Heybeliada,
53,Planet'ten Merkezde Ara Kat Geniş Bahçeli Geniş Ara Kat Daire,160.0,3+1,7.500.000,Büyükada,Maden Mh.
54,KINALIADA MERKEZDE SATILIK 2+2 160M2 ÇATI DUBLEKSİ,200.0,2+2,4.250.000,Kınalıada,Kınalıada Mh.
55,BÜYÜKADA NİZAMDA ÇEVİK EMLAKTAN 120M2 3+1 BALKONLU,120.0,3+1,3.950.000,Büyükada,Nizam Mh.
56,Heybeliada Merkezde Satılık Giriş Kat 2+1 Daire,100.0,2+1,2.150.000,Heybeliada,
57,BÜYÜKADA'DA DENİZ MANZARALI SATILIK RUM EVİ,200.0,4+1,5.650.000,Büyükada,Maden Mh.
58,"heybeliada'da merkezde 52 m2 net, kombili ara kat 1+1 .",62.0,1+1,2.000.000,Heybeliada,
59,Büyükada Nizam'da Satılık 2+1 Temiz Daire,75.0,2+1,5.500.000,Büyükada,Nizam Mh.
60,Planet'ten İçi Sıfırlanmış Yenilenmiş Havuzlu Bahçe Katı Daire,82.0,3+1,3.700.000,Büyükada,Nizam Mh.
61,Temiz Dubleks,180.0,3+1,4.700.000,Kınalıada,Kınalıada Mh.
62,KINALIADA ÇARŞI CADDESİ VE YALI PLAJ BÖLGESİNDE 2+1 MASRAFSİZ !!,110.0,2+1,4.400.000,Kınalıada,Kınalıada Mh.
63,Büyükada'nın En güzel Sitesinde Tatil Modunda Yaşam Fırsatı,250.0,6+2,8.700.000,Büyükada,Nizam Mh.
64,AKASYA CADDESİNDE KOMPLE SATILIK BİNA ( 2 DAİRE - 1 DÜKKAN ),300.0,3+2,14.000.000,Kınalıada,Kınalıada Mh.
65,BÜYÜKADA'DA SATILIK 2+1 DAİRE,73.0,2+1,2.150.000,Büyükada,Maden Mh.
66,KINALIADA'NIN EN PRESTİJLİ CADDESİ AKASYA CADDESİNDE 2+1 DAİRE,85.0,2+1,2.875.000,Kınalıada,Kınalıada Mh.
67,heybeliada'da uğur köken (eskisi orhan) sk. giriş kombili daire.,58.0,2+1,1.500.000,Heybeliada,
68,BÜYÜKADA'DA KENDİ PLAJI OLAN HAVUZLU MANZARALI DAİRE,185.0,3+1,8.500.000,Büyükada,Nizam Mh.
69,Planet'ten Deniz Manzaralı 4+1 Geniş Ara Kat Daire,160.0,4+1,5.000.000,Büyükada,Maden Mh.
70,BURGAZADA'NIN EN NEZİH SOKAĞINDA MUHTEŞEM DENİZ MANZARALI 3+1,200.0,3+1,7.200.000,Burgazada,Burgazada Mh.
71,Burgaz Ada'da Muhteşem Deniz Manzaralı 65m2 1+1 Yüksek Giriş,65.0,1+1,3.150.000,Burgazada,Burgazada Mh.
72,Kumsal Bölgesinde Panjur Sokakta 2+1 Çift Balkonlu Ara Kat Daire,110.0,2+1,2.500.000,Büyükada,Maden Mh.
73,BÜYÜKADA'da iskeleye denize hastaneye yakın konumda,100.0,2+1,5.000.000,Büyükada,Nizam Mh.
74,ARMAĞANDAN KINALIADA HARİKA DENİZ MANZARALI 2+1 ÖZEL BAHÇELİ,100.0,2+1,3.800.000,Kınalıada,Kınalıada Mh.
75,Sahibinden 2+1Takasa açık Ege Akdeniz bölgesi Daire,80.0,2+1,2.190.000,Heybeliada,
76,Planet'ten Muhteşem Deniz Manzaralı ve Havuzlu Dubleks Daire,120.0,3+1,4.400.000,Büyükada,Maden Mh.
77,MASRAFSIZ TEMİZ KREDİYE UYGUN BALKONLU,95.0,2+1,2.650.000,Büyükada,Maden Mh.
78,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230.0,5+2,12.240.000,Büyükada,Maden Mh.
79,BÜYÜKADA'DA SAHİBİNDEN SATILIK 3+1 VE MÜŞTEMİLAT 2+1 DAİRE,140.0,4+2,4.700.000,Büyükada,Maden Mh.
80,KINALIADA AKASYA CADDESİ'NDE DENİZ MANZARALI 5 ODA 2 SALON,279.0,5+2,18.000.000,Kınalıada,Kınalıada Mh.
81,KINALIADA MERKEZİ KONUMDA 2+1 FIRSAT 1.KAT 75 M2,85.0,2+1,2.200.000,Kınalıada,Kınalıada Mh.
82,Planet'ten Merkezde Alçak Giriş 1+1 Daire,60.0,1+1,1.650.000,Büyükada,Nizam Mh.
83,BÜYÜKADANIN EN GÜZEL LOKASYONU ÇATI DUBLEX 420 M2 4+1 TERASLI,450.0,4+1,15.000.000,Büyükada,Nizam Mh.
84,HEYBELİADA'DA SATILIK DENİZ MANZARALI DUBLEKS DAİRE,100.0,2+1,3.500.000,Heybeliada,
85,KINALIADA YARBAŞI MEVKİSİNDE BOTANİK BAHÇELİ 3+2 HARİKA MANZARA,180.0,3+2,9.850.000,Kınalıada,Kınalıada Mh.
86,Planet'ten Muhteşem Deniz Manzaralı Yarı Olimpik Havuzlu Dubleks,150.0,4+1,6.250.000,Büyükada,Maden Mh.
87,KINALIADA NARÇİÇEĞİ SOKAKTA ÇOK KEYİFLİ GENİŞ TERASLI 3+1 140M2,200.0,3+1,6.300.000,Kınalıada,Kınalıada Mh.
88,heybeliada merkezde sakin sokakta kombili kat mülkiyetli dubleks,93.0,3+1,2.500.000,Heybeliada,
89,Büyükada Emlak'tan Deniz ve Havuz Manzaralı Dublex,160.0,3+1,6.000.000,Büyükada,Maden Mh.
90,BÜYÜKADA'DA HAVUZLU KÖŞK'TE DENİZ MANZARALI 3+1 DAİRE,100.0,3+1,3.500.000,Büyükada,Maden Mh.
91,KINALIADANIN EN ÖZEL HAVUZLU TAŞ KÖŞKÜNDE DUBLEKS 2 BAGIMSIZ KAT,550.0,6+2,21.500.000,Kınalıada,Kınalıada Mh.
92,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230.0,5+2,12.240.000,Büyükada,Maden Mh.
93,Büyükada Emlak'tan Bakımlı Sitede Deniz Doğa Havuz Manzaralı 4+1,180.0,4+1,4.600.000,Büyükada,Nizam Mh.
94,"Burgazada'da Deniz,Adalar ve İstanbul Manzaralı 7+2",460.0,7+2,9.600.000,Burgazada,Burgazada Mh.
95,NETA'DAN BURGAZADA'DA FIRSAT BUTİK DAİRE,120.0,2+1,4.500.000,Burgazada,Burgazada Mh.
96,HEYBELİADA SAHİLDE DENİZ MANZARALI FULL EŞYALI SATILIK 3+1 DAİRE,165.0,3+1,5.750.000,Heybeliada,
97,Marica Emak'tan Kınalıada'da 2+1 Satılık Daire,85.0,2+1,3.500.000,Kınalıada,Kınalıada Mh.
98,Kınalıada İçi Komle Tadilatlı 2+1 80m2 Satılık Daire,80.0,2+1,3.500.000,Kınalıada,Kınalıada Mh.
99,Planet'ten Muhteşem Denize Sıfır Manzaralı Havuzlu Dubleks Daire,155.0,3+1,6.000.000,Büyükada,Maden Mh.
100,BÜYÜKADA DA İSKELEYE 5 DK MESAFEDE SATILIK DAİRE,85.0,2+1,4.450.000,Büyükada,Nizam Mh.
101,Planet'ten Çankaya Meydanında Deniz Manzaralı Komple Kat Daire,190.0,4+1,7.500.000,Büyükada,Nizam Mh.
102,ADALAR İLÇESİ BÜYÜKADADA 2+1 CAZİP ÇATI KATI,110.0,2+1,2.375.000,Büyükada,Nizam Mh.
103,HEYBELİADA'DA 3+1 DUBLEKS EŞYALI SATILIK DAİRE,110.0,3+1,2.700.000,Heybeliada,
104,Planet'ten Mükemmel Deniz Manzaralı 15 Yaşında Dubleks,139.0,3+1,4.750.000,Büyükada,Maden Mh.
105,Büyükada Emlak'tan 3+1 Havuzlu Keyifli Bahçe Katı,110.0,3+1,3.700.000,Büyükada,Maden Mh.
106,BÜYÜKADA EMLAK'TAN SONSUZ DENİZ MANZARASI,140.0,3+1,12.000.000,Büyükada,Maden Mh.
107,Planet'ten Kadıyoran Caddesinde 16 yıllk yeni bina Dubleks Daire,120.0,3+1,4.500.000,Büyükada,Nizam Mh.
108,Akvaryum Çift Cepheli,160.0,4+1,7.200.000,Kınalıada,Kınalıada Mh.
109,BÜYÜKADA EMLAK'TAN 100 M2 BAHÇE KULLANIMLI KELEPİR DAİRE,120.0,5+1,3.700.000,Büyükada,Nizam Mh.
110,Planet'tn Müstakil Nitelikli Özel Geniş Bahçeli Bahçe Katı,165.0,4+1,7.000.000,Büyükada,Nizam Mh.
111,Planet'ten Merkezde Ana Caddede Alçak Giriş 2+1 Daire,115.0,2.5+1,1.500.000,Büyükada,Maden Mh.
112,Burgazada 3+1 genis bahceli yazlik kislik dogalgazli,160.0,3+1,3.750.000,Burgazada,Burgazada Mh.
113,Büyükada Emlak'tan İçi Yenilenmiş 2+1 Yüksek Giriş Daire,100.0,2+1,2.400.000,Büyükada,Maden Mh.
114,Planet'tn İskeleye 3 Dkka Mesafede Konumu İyi Yüksek Giriş Daire,125.0,3+1,3.500.000,Büyükada,Nizam Mh.
115,Büyükada Emlak'tan Sitede 3+1 Havuzlu Deniz Manzaralı Bahçe Katı,140.0,3+1,6.500.000,Büyükada,Maden Mh.
116,Büyükada Emlak'tan Panaromik Deniz Manzaralı Keyifli Dublex,135.0,3+1,4.400.000,Büyükada,Maden Mh.
117,Büyükada Emlak'tan 3+1 Deniz ve Doğa Manzaralı Bahçe Katı,100.0,3+1,3.000.000,Büyükada,Maden Mh.
118,KINALIADA NİDA SİTESİ SATILIK DENİZ MANZARALI MESUT ALTAY' DAN,130.0,3+1,4.950.000,Kınalıada,Kınalıada Mh.
119,SATILIK 2+1 DAİRE TAŞOLUK AYAZMA CADDESİNDE !,95.0,2+1,1.700.000,Taşoluk,Taşoluk Mh.
120,Merkeze Yakın 90m² 2+1 Balkonlu Kullanışlı 2.Kat Dairelerimiz,90.0,2+1,1.400.000,Arnavutköy,Anadolu Mah.
121,Anadolu Mah Asansörlü Çift Balkonlu Lüks Daire 1.Kat 2+1 100 M2,100.0,2+1,1.290.000,Arnavutköy,Anadolu Mah.
122,Anadolu Mah Kullanıma Hazır 3+1 Ferah Güzel Konumda Lüks Daire,120.0,3+1,1.090.000,Arnavutköy,Anadolu Mah.
123,Bu Arnavutköy Merkez Ana Cadde yakın Ara kat Geniş 3+1Daire...!,150.0,3+1,1.330.000,Arnavutköy,Anadolu Mah.
124,Arnavutköy Haraççıda 2+1 bodrum Kat Krediye Uygun Daire,95.0,2+1,695.000,Haraççı,Haraççı Mh.
125,ARNAVUTKÖY MERKEZ MAH 4+3 DUBLEX DAİRE GENİŞ FERAH,260.0,4+3,2.150.000,Arnavutköy,Arnavutköy Merkez Mh.
126,ARNAVUTKÖY MERKEZDE METROYA YAKIN GENİŞ FERAH SATILIK 2+1 105M2,105.0,2+1,1.145.000,Arnavutköy,Anadolu Mah.
127,ARNAVUTKÖY ATATÜRK MAH.SATILIK ULTRA LÜKS 1.KAT DAİRE 2+1 100M2,100.0,2+1,1.225.000,Boğazköy,Atatürk Mh.
128,Acil Havalimanı'na yakın İki ayrı girişli Satılık Dubleks,180.0,3+2,1.890.000,Arnavutköy,Anadolu Mah.
129,Ömerli Kiptaş Acil Satılık,100.0,2+1,1.250.000,Hadımköy,(Boyalık)Ömerli Mh.
130,HADIMKÖY VEFA KONUTLARI SATILIK 2+1 DAİRE,115.0,2+1,1.700.000,Arnavutköy,Hadımköy Mh.
131,Arnavutköy Merkezde Satılık Dublex,180.0,5+2,4.500.000,Arnavutköy,Arnavutköy Merkez Mh.
132,DOĞA İLE İÇ İÇE SİTE İÇERİSİNDE MÜKEMMEL DAİRE,135.0,3+1,2.950.000,Boğazköy,Boğazköy İstiklal Mh.
133,Z. Aras İnşaattan Satılık 2 +1 dubleks,150.0,2+1,1.500.000,Arnavutköy,Anadolu Mah.
134,ARNAVUTKÖY MERKEZ'DE SATILIK DUBLEKS,190.0,4+1,2.350.000,Arnavutköy,Arnavutköy Merkez Mh.
135,FULL KREDİYE UYGUN SATILIK YENİ İSKANLI ASANSÖRLÜ BİNADA 2+1,120.0,2+1,1.285.000,Arnavutköy,Anadolu Mah.
136,ARNAVUTKÖY İSLAMBEY MAHALLESİ NDE SATILIK DAİRE,95.0,2+1,1.150.000,Arnavutköy,İslambey Mh.
137,ARNAVUTKÖY ANADOLU MAH SATILIK 4+2 LÜKS ASANSÖRLÜ DUBLEX DAİRE,240.0,4+2,2.350.000,Arnavutköy,Anadolu Mah.
138,SİTE İCERİSİN MANZARALI ORMAN İCİNDE BAŞAKŞEHİR E İSTOC 10 DK,145.0,3+1,3.250.000,Boğazköy,Boğazköy İstiklal Mh.
139,"HAVAALANINA 15 DAKKİKA, MİLKENT Sitesi, SATILIK 3+1 BAHÇE KATI",120.0,3+1,3.150.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
140,HAS EVİM YAPIDAN İSLAMBEY MAH 2+1 100 MT YÜKSEK GİRİŞ 3.KAT GİBİ,105.0,2+1,1.020.000,Arnavutköy,İslambey Mh.
141,HAS EVİM YAPIDAN SATILIK 3+1 SIFIR TERS DUBLEKS DAİRE,120.0,3+1,870.000,Arnavutköy,Anadolu Mah.
142,Sahibinden Satılık Hadımköy Toki 3+1 Daire,125.0,3+1,1.580.000,Arnavutköy,Hadımköy Mh.
143,ARNAVUTKÖY ANADOLU MAH.SATILIK DUBLEKS 4+2 HARİKA DUBLEXS,185.0,4+2,1.535.000,Arnavutköy,Anadolu Mah.
144,ARNAVUTKÖY TAŞOLUK DA SATILIK 3+2 DUBLEKS DAİRE,200.0,3+2,1.840.000,Taşoluk,Taşoluk Mh.
145,Arnavutköy Merkezi Lokasyon'da Satılık Lüx 6+2 Dublex projeden,270.0,6+2,3.050.000,Arnavutköy,Arnavutköy Merkez Mh.
146,ÖMERLİ KİPTAŞ KONUTLARI 2.ETAP'TA 2+1 SATILIK DAİRE,95.0,2+1,1.550.000,Hadımköy,(Boyalık)Ömerli Mh.
147,"BOŞ DELİKLİKAYA HADIMKÖY KİPTAŞ 3.ETAP 2+1, 84M2,1.250.000.- TL",84.0,2+1,1.250.000,Hadımköy,(Boyalık)Deliklikaya Mah.
148,SAHİBİNDEN KOMİSYONSUZ ACİL SATILIK,84.0,2+1,1.400.000,Hadımköy,(Boyalık)Deliklikaya Mah.
149,GENİŞ FERAH DAİRE,120.0,2+1,950.000,Arnavutköy,Anadolu Mah.
150,YÜCE İNŞAAT DAN SATILIK 5+2 MUHTEŞEM ULTRA LUX DUBLEX,250.0,5+2,1.950.000,Arnavutköy,Nenehatun Mah.
151,ARNAVUTKÖY MERKEZDE METROYA YAKIN SATILIK GENİŞ FERAH. 3+1 1.KAT,130.0,3+1,1.600.000,Arnavutköy,Anadolu Mah.
152,Site İçi Akıllı Ev Sistemi Yerden Isıtmalı Full Dolaplı,100.0,2+1,1.925.000,Bolluca,Mavigöl Mh.
153,BOLLUCA'DA GÜVENLİKLİ VE OTOPARKLI SİTEDE KREDİYE UYGUN DAİRE,60.0,1+1,1.350.000,Bolluca,
154,HADIMKÖY VEFA KONUTLARI ( KİRACILI ) SATILIK 2+1 DAİRE,115.0,2+1,1.500.000,Arnavutköy,Hadımköy Mh.
155,SOYAK KONFORİA - BAŞAKŞEHİR - SATILIK - BOŞ - ARAKAT 1+1 DAİRE,66.0,1+1,1.260.000,Hadımköy,(Boyalık)Deliklikaya Mah.
156,ARNAVUTKÖY KİPTAŞ KONUTLARINDA SATILIK UYGUN DAİRE,125.0,3+1,3.000.000,Arnavutköy,Mustafa Kemal Paşa Mh.
157,KİPTAŞ 3 HADIMKÖY/ GÜNEY CEPHELİ ÖNÜ AÇIK TEMİZ DAİRE,84.0,2+1,1.230.000,Hadımköy,(Boyalık)Deliklikaya Mah.
158,MAYA KONAKLARI ULTRA LÜX HAVUZLU SPOR SALONLU OTOPARKLI,85.0,2+1,1.780.000,Arnavutköy,Hadımköy Mh.
159,ARNAVUTKÖY MERKEZE YAKIN ARA KAT ACILL SATILIK DAİRE,95.0,2+1,1.250.000,Arnavutköy,Nenehatun Mah.
160,5K İNŞAAT TAN SATILIK 3+1 DAİRE,130.0,3+1,1.300.000,Arnavutköy,Nenehatun Mah.
161,DEĞİRMEN İNŞAAT'TAN KARLIBAYIR MH 200M² 3+2 ASANSÖRLÜ DUBLEKS,200.0,3+2,1.799.000,Haraççı,Karlıbayır Mh.
162,HASMEKSTAR GAYRİMENKULDEN UTRA LÜKS DUBLEKS DAİRE NENEHATUNDA,240.0,4+3,1.945.000,Arnavutköy,Nenehatun Mah.
163,Hadımköy kiptaş 2.etap ilk sahibinden satılık,140.0,3+1,3.500.000,Hadımköy,(Boyalık)Ömerli Mh.
164,HASMEKSTARDAN UTRA LÜKS ARAKAT DAÎRE ŞEHÎR PARKIN ALTINDA,100.0,2+1,1.300.000,Arnavutköy,Anadolu Mah.
165,ARNAVUTKÖY ANADOLU MAH 4+2 KREDİYE UYGUN 130 m² DUBLEKS DAİRE,130.0,4+2,1.390.000,Arnavutköy,Anadolu Mah.
166,Sahibinden Satılık 160 M2 Dubleks,160.0,3+2,1.550.000,Arnavutköy,Anadolu Mah.
167,ARNAVUTKÖY MERKEZİ KONUMDA SATILIK BAHÇELİ DAİRE,85.0,2+1,650.000,Arnavutköy,Anadolu Mah.
168,Boğazköyİstiklal Mah'De HAKANLAR İNŞAAT'TAN Satılık 2+1 Dubleks,140.0,2+1,1.970.000,Boğazköy,Boğazköy İstiklal Mh.
169,ARNAVUTKÖY BOLLUCA MAVİGÖL'DE SATILIK SIFIR DAİRE 2+1 1.250.000,95.0,2+1,1.250.000,Bolluca,Mavigöl Mh.
170,MERKEZ 2. CAMİİ SOKAĞINDA SATILIK 4+2 DUBLEKS DAİRE,170.0,4+2,2.050.000,Arnavutköy,Anadolu Mah.
171,Sahibinden kiptaş 3 etap manzaralı ACİLL takaslı satılık daire,84.0,2+1,1.250.000,Hadımköy,(Boyalık)Deliklikaya Mah.
172,ARNAVUTKÖY İSLAMBEY MAHALESİN DE SATILIK 2+1 DAİRE,105.0,2+1,1.275.000,Arnavutköy,İslambey Mh.
173,MAVİGÖL MAHALLESİNDE KÖŞE BAŞI 4+1 ALT KAT 2+1 ÜST KAT 1+1,130.0,4+1,1.545.000,Bolluca,Mavigöl Mh.
174,ARNAVUTKÖY DE TERS DUBLEKS,90.0,2+1,790.000,Arnavutköy,İslambey Mh.
175,Arnavutköy İslambey Mahallesinde 4+2 Sıfır Dubleks 150m2,197.0,4+2,1.650.000,Arnavutköy,İslambey Mh.
176,ARNAVUTKÖY NENEHATUN MAHALESİN DE SIFIR LÜX 3+1 DAİRE,135.0,3+1,1.700.000,Arnavutköy,Nenehatun Mah.
177,ARNAVUTKÖY İSLAMBEY MH GENİŞ LÜX 3+1 ARAKAT DAİRE MERKEZE YAKIN,125.0,3+1,1.550.000,Arnavutköy,İslambey Mh.
178,ZÜBEYİROĞULLARI EMLAKTAN MERKEZDE SATILIK DAİRE,113.0,2+1,1.300.000,Arnavutköy,İslambey Mh.
179,ARNAVUTKÖY'­NENEHATUNDA SATILIK ULTRA LÜKS 4+2 DUBLEX,185.0,4+2,1.975.000,Arnavutköy,Nenehatun Mah.
180,ERİNÇ MANZARA EVLERİNDE 3+1 KAPALI OTOPARKLI İSKANLI METROYA 1DK,125.0,3+1,1.975.000,Taşoluk,Taşoluk Mh.
181,HAYATPARK4 AÇIK VE KAPALI HAVUZ,150.0,2+1,1.750.000,Arnavutköy,Hadımköy Mh.
182,HAS EVİM YAPIDAN NENEHATUN MAH 2+1 1.KAT GİBİ YÜKSEK GİRİŞ,90.0,2+1,935.000,Arnavutköy,Nenehatun Mah.
183,ÇALIŞKAN GYO'DAN AYRICALIK SEVENLERE,138.0,3+1,2.000.000,Arnavutköy,İslambey Mh.
184,ANADOLU MAHALESIN DE SATILIK LUX 3+1DÜBLEX,150.0,2+2,1.385.000,Arnavutköy,Anadolu Mah.
185,Arnavutköy Bolluca Hicret Mah. 2+1 Satılık Daire,90.0,2+1,1.000.000,Bolluca,
186,ORHANOĞLU İNŞAAT'TAN ARNAVUTKÖY MERKEZ MH ULTRA LÜX DUBLEKS.!!!!,220.0,4+2,1.680.000,Arnavutköy,Arnavutköy Merkez Mh.
187,Arnavutköy Nenehatun Mahallesi Satılık Dubleks Daireler,160.0,4+2,1.700.000,Arnavutköy,Nenehatun Mah.
188,Hadımköy Kiptaş 2.Etap Ömerli Satılık 2+1 Daire,110.0,2+1,1.520.000,Hadımköy,(Boyalık)Ömerli Mh.
